ID,NAME,POS,DATEOFBIRTH,PLACEOFBIRTH,AGE,DATEOFDEATH,NATIONALITY,HEIGHT,WEIGHT,URL,STATUS
344,Ralf Edstrom,FW,,,,,,,,,
345,Michel,MF,,,,,,,,,
346,Jose Altafini,FW,,,,,,,,,
347,Georgi Asparuhov,FW,,,,,,,,,
348,Graeme Souness,MF,,,,,,,,,
349,Hansi Muller,MF,,,,,,,,,
350,Soren Lerby,MF,,,,,,,,,
351,Stephane Chapuisat,FW,,,,,,,,,
352,Rui Costa,MF,,,,,,,,,
353,Filippo Inzaghi,FW,,,,,,,,,
354,Luis Garcia,MF,,,,,,,,,
355,Jozsef Bozsik,MF,,,,,,,,,
356,Manuel Amoros,DF,,,,,,,,,
357,Gianluca Zambrotta,DF,,,,,,,,,
358,Carles Puyol,DF,,,,,,,,,
359,Alisson,GK,,,,,,,,,
360,Fabrizio Ravanelli,FW,,,,,,,,,
361,Jan Tomaszewski,GK,,,,,,,,,
362,Bebeto,FW,,,,,,,,,
363,Igor Chislenko,FW,,,,,,,,,
364,Walter Schachner,FW,,,,,,,,,
365,Pierre Littbarski,MF,,,,,,,,,
366,Robert Prosinecki,MF,,,,,,,,,
367,Julio Cesar Soares,GK,,,,,,,,,
368,Erwin Vandenbergh,FW,,,,,,,,,
369,Daniel Passarella,DF,,,,,,,,,
370,Rui Patricio,GK,,,,,,,,,
371,Jose Antonio Reyes,MF,,,,,,,,,
372,Des Walker,DF,,,,,,,,,
373,Maniche,MF,,,,,,,,,
374,Junichi Inamoto,MF,,,,,,,,,
375,Mark Hateley,FW,,,,,,,,,
376,Dominique Rocheteau,MF,,,,,,,,,
377,Julio Salinas,FW,,,,,,,,,
378,Dries Mertens,FW,,,,,,,,,
379,Eduard Streltsov,FW,,,,,,,,,
380,Jef Jurion,MF,,,,,,,,,
381,Dragoslav Sekularac,MF,,,,,,,,,
382,Andrej Kvasnak,MF,,,,,,,,,
383,Janos Gorocs,MF,,,,,,,,,
384,Louis Pilot,MF,,,,,,,,,
385,Mario Corso,MF,,,,,,,,,
386,Billy Bremner,MF,,,,,,,,,
387,Trevor Brooking,MF,,,,,,,,,
388,Dudu Georgescu,FW,,,,,,,,,
389,Zdenek Nehoda,FW,,,,,,,,,
390,Morten Olsen,MF,,,,,,,,,
391,Joao Resende Alves,MF,,,,,,,,,
392,Oleksiy Mykhaylychenko,MF,,,,,,,,,
393,Stefan Effenberg,MF,,,,,,,,,
394,Roy Makaay,FW,,,,,,,,,
395,Juan Roman Riquelme,MF,,,,,,,,,
396,Martin Dahlin,FW,,,,,,,,,
397,Jan Oblak,GK,,,,,,,,,
398,Krasimir Balakov,MF,,,,,,,,,
399,Gennaro Gattuso,MF,,,,,,,,,
400,Didier Deschamps,MF,,,,,,,,,
401,Gregory Coupet,GK,,,,,,,,,
402,Jon Dahl Tomasson,FW,,,,,,,,,
403,Paulo Dybala,FW,,,,,,,,,
404,Isco,MF,,,,,,,,,
405,Walter Zenga,GK,,,,,,,,,
406,Agne Simonsson,FW,,,,,,,,,
407,Jose Augusto,MF,,,,,,,,,
408,Jose Augusto Torres,FW,,,,,,,,,
409,Milan Galic,FW,,,,,,,,,
410,Jesper Olsen,MF,,,,,,,,,
411,Nils Liedholm,MF,,,,,,,,,
412,Jurgen Croy,GK,,,,,,,,,
413,Antonin Panenka,MF,,,,,,,,,
414,Trevor Francis,FW,,,,,,,,,
415,Dieter Muller,FW,,,,,,,,,
416,Klaus Allofs,FW,,,,,,,,,
417,Ronald de Boer,MF,,,,,,,,,
418,Karoly Sandor,MF,,,,,,,,,
419,Josip Skoblar,FW,,,,,,,,,
420,Janos Farkas,FW,,,,,,,,,
421,Angelo Domenghini,FW,,,,,,,,,
422,Branko Oblak,MF,,,,,,,,,
423,Juan Manuel Asensi,MF,,,,,,,,,
424,Rene van de Kerkhof,FW,,,,,,,,,
425,Horst Hrubesch,FW,,,,,,,,,
426,Luis Arconada,GK,,,,,,,,,
427,Vladimir Petrovic,MF,,,,,,,,,
428,Bruno Conti,MF,,,,,,,,,
429,Maxime Bossis,DF,,,,,,,,,
430,Safet Susic,MF,,,,,,,,,
431,Luis Fernandez,MF,,,,,,,,,
432,Bixente Lizarazu,DF,,,,,,,,,
433,Claudio Lopez,FW,,,,,,,,,
434,Viliam Schrojf,GK,,,,,,,,,
435,Ernst Ocwirk,MF,,,,,,,,,
436,Hasan Sas,MF,,,,,,,,,
437,Alen Boksic,FW,,,,,,,,,
438,Gunnar Gren,FW,,,,,,,,,
439,Harry Gregg,GK,,,,,,,,,
440,Roberto Ayala,DF,,,,,,,,,
441,Tony Yeboah,FW,,,,,,,,,
442,Karl-Heinz Riedle,FW,,,,,,,,,
443,Javier Mascherano,DF,,,,,,,,,
444,Uli Hoeness,FW,,,,,,,,,
445,Tiago Mendes,MF,,,,,,,,,
446,Johnny Rep,MF,,,,,,,,,
447,Jozef Mlynarczyk,GK,,,,,,,,,
448,Valentin Ivanov,MF,,,,,,,,,
449,Gianluca Pagliuca,GK,,,,,,,,,
450,Marc Wilmots,MF,,,,,,,,,
451,Socrates,MF,,,,,,,,,
452,Packie Bonner,GK,,,,,,,,,
453,Gerard Pique,DF,,,,,,,,,
454,Martin Peters,MF,,,,,,,,,
455,Wlodzimierz Smolarek,FW,,,,,,,,,
456,Glenn Hoddle,MF,,,,,,,,,
457,Rai,MF,,,,,,,,,
458,Adrian Mutu,MF,,,,,,,,,
459,Jose Aguas,FW,,,,,,,,,
460,Jack Charlton,DF,,,,,,,,,
461,Ladislav Novak,DF,,,,,,,,,
462,Luis del Sol,MF,,,,,,,,,
463,Slava Metreveli,FW,,,,,,,,,
464,Horst Nemec,FW,,,,,,,,,
465,Franny Lee,FW,,,,,,,,,
466,Mimis Domazos,MF,,,,,,,,,
467,Nestor Combin,FW,,,,,,,,,
468,Willi Schulz,DF,,,,,,,,,
469,Yevgeniy Rudakov,GK,,,,,,,,,
470,Antal Dunai,FW,,,,,,,,,
471,Murtaz Khurtsilava,DF,,,,,,,,,
472,Piet Keizer,MF,,,,,,,,,
473,Tommy Gemmell,DF,,,,,,,,,
474,Terry Cooper,DF,,,,,,,,,
475,Jupp Heynckes,FW,,,,,,,,,
476,Hans-Jurgen Kreische,FW,,,,,,,,,
477,Ruud Geels,FW,,,,,,,,,
478,Jean-Marc Guillou,MF,,,,,,,,,
479,Barry Hulshoff,DF,,,,,,,,,
480,Gordon McQueen,DF,,,,,,,,,
481,Marian Masny,FW,,,,,,,,,
482,Eric Gerets,DF,,,,,,,,,
483,Manfred Kaltz,DF,,,,,,,,,
484,Torbjorn Nilsson,FW,,,,,,,,,
485,Gerard Janvion,DF,,,,,,,,,
486,Herbert Prohaska,MF,,,,,,,,,
487,Uli Stielike,MF,,,,,,,,,
488,Dominique Bathenay,MF,,,,,,,,,
489,Andras Toroczik,FW,,,,,,,,,
490,Fernando Gomes,FW,,,,,,,,,
491,Ladislav Vizek,FW,,,,,,,,,
492,Hans-Peter Briegel,DF,,,,,,,,,
493,Dimitris Saravakos,MF,,,,,,,,,
494,Anatoliy Demyanenko,DF,,,,,,,,,
495,Guido Buchwald,DF,,,,,,,,,
496,Oleh Kuznetsov,DF,,,,,,,,,
497,Roberto Mancini,FW,,,,,,,,,
498,Rune Bratseth,DF,,,,,,,,,
499,Flemming Povlsen,FW,,,,,,,,,
500,Giuseppe Signori,FW,,,,,,,,,
501,Thomas Hassler,MF,,,,,,,,,
502,Zvonimir Boban,MF,,,,,,,,,
503,Sonny Anderson,FW,,,,,,,,,
504,Paulo Sousa,MF,,,,,,,,,
505,Zlatko Zahovic,MF,,,,,,,,,
506,Francesco Toldo,GK,,,,,,,,,
507,Giovane Elber,FW,,,,,,,,,
508,Mario Jardel,FW,,,,,,,,,
509,Ruben Baraja,MF,,,,,,,,,
510,Emerson (1976),MF,,,,,,,,,
511,Pablo Aimar,MF,,,,,,,,,
512,Maicon Sisenando,DF,,,,,,,,,
513,Laszlo Kubala,FW,,,,,,,,,
514,Jim Baxter,MF,,,,,,,,,
515,Pierre van Hooijdonk,FW,,,,,,,,,
516,Finidi George,MF,,,,,,,,,
517,Ricardo Zamora,GK,,,,,,,,,
518,Jose Nasazzi,DF,,,,,,,,,
519,Jose Santamaria,DF,,,,,,,,,
520,Cesare Maldini,DF,,,,,,,,,
521,Seol Ki-Hyeon,MF,,,,,,,,,
522,Hidetoshi Nakata,MF,,,,,,,,,
523,Koke,MF,,,,,,,,,
524,Mahamadou Diarra,MF,,,,,,,,,
525,Karel Poborsky,MF,,,,,,,,,
526,Max Morlock,FW,,,,,,,,,
527,Viv Anderson,DF,,,,,,,,,
528,Kennet Andersson,FW,,,,,,,,,
529,Anatoliy Byshovets,FW,,,,,,,,,
530,Marcelo Salas,FW,,,,,,,,,
531,Roger Piantoni,FW,,,,,,,,,
532,Jose Luis Caminero,MF,,,,,,,,,
533,Luis Fabiano,FW,,,,,,,,,
534,Leonardo Bonucci,DF,,,,,,,,,
535,Theodoros Zagorakis,MF,,,,,,,,,
536,Antoni Ramallets,GK,,,,,,,,,
537,Ivor Allchurch,FW,,,,,,,,,
538,Viktor Ponedelnik,FW,,,,,,,,,
539,Archie Gemmill,MF,,,,,,,,,
540,Florea Dumitrache,FW,,,,,,,,,
541,Heinz Flohe,MF,,,,,,,,,
542,Roland Sandberg,FW,,,,,,,,,
543,Klaus Fischer,FW,,,,,,,,,
544,Arie Haan,MF,,,,,,,,,
545,Joachim Streich,FW,,,,,,,,,
546,Silviu Lung,GK,,,,,,,,,
547,Didier Six,MF,,,,,,,,,
548,Marco Tardelli,MF,,,,,,,,,
549,Andreas Kopke,GK,,,,,,,,,
550,Yordan Letchkov,MF,,,,,,,,,
551,Dino Baggio,MF,,,,,,,,,
552,John Jensen,MF,,,,,,,,,
553,Cafu,DF,,,,,,,,,
554,Charles Antenen,FW,,,,,,,,,
555,Giampiero Boniperti,FW,,,,,,,,,
556,Lennart Skoglund,MF,,,,,,,,,
557,Colin McDonald,GK,,,,,,,,,
558,Georgi Naydenov,GK,,,,,,,,,
559,Karl Koller,MF,,,,,,,,,
560,Milos Milutinovic,MF,,,,,,,,,
561,Joaquin Peiro,MF,,,,,,,,,
562,Erno Solymosi,MF,,,,,,,,,
563,Peter Lorimer,MF,,,,,,,,,
564,Sigfried Held,MF,,,,,,,,,
565,Josip Katalinski,DF,,,,,,,,,
566,Jurgen Grabowski,FW,,,,,,,,,
567,Jurgen Sparwasser,MF,,,,,,,,,
568,Manuel Bento,GK,,,,,,,,,
569,Jerzy Gorgon,DF,,,,,,,,,
570,Vladislav Bogicevic,MF,,,,,,,,,
571,Francesco Graziani,FW,,,,,,,,,
572,Willy van de Kerkhof,MF,,,,,,,,,
573,Ramaz Shengelia,FW,,,,,,,,,
574,Aleksandre Chivadze,DF,,,,,,,,,
575,Steve Archibald,FW,,,,,,,,,
576,Carlos Manuel Santos,MF,,,,,,,,,
577,Frankie Vercauteren,MF,,,,,,,,,
578,Thomas Ravelli,GK,,,,,,,,,
579,Enzo Francescoli,MF,,,,,,,,,
580,Lajos Detari,MF,,,,,,,,,
581,Carlos Valderrama,MF,,,,,,,,,
582,Oleg Protassov,FW,,,,,,,,,
583,Pavlo Yakovenko,MF,,,,,,,,,
584,Georges Grun,DF,,,,,,,,,
585,Norman Whiteside,MF,,,,,,,,,
586,Toni Polster,FW,,,,,,,,,
587,Txiki Begiristain,MF,,,,,,,,,
588,Emil Kostadinov,FW,,,,,,,,,
589,Andreas Herzog,MF,,,,,,,,,
590,Sinisa Mihajlovic,DF,,,,,,,,,
591,Hakan Sukur,FW,,,,,,,,,
592,Pep Guardiola,MF,,,,,,,,,
593,Vitor Baia,GK,,,,,,,,,
594,Victor Ikpeba,FW,,,,,,,,,
595,Bernd Schneider,MF,,,,,,,,,
596,Ebbe Sand,FW,,,,,,,,,
597,Edmilson,MF,,,,,,,,,
598,Jan Koller,FW,,,,,,,,,
599,Juan Carlos Valeron,MF,,,,,,,,,
600,Emmanuel Olisadebe,FW,,,,,,,,,
601,Fabio Grosso,DF,,,,,,,,,
602,Edison Mendez,MF,,,,,,,,,
603,Shunsuke Nakamura,MF,,,,,,,,,
604,Javier Saviola,FW,,,,,,,,,
605,Ricardo Quaresma,MF,,,,,,,,,
606,Mark van Bommel,MF,,,,,,,,,
607,Eric Abidal,DF,,,,,,,,,
608,Jaap Stam,DF,,,,,,,,,
609,Vicente Rodriguez,MF,,,,,,,,,
610,Dixie Dean,FW,,,,,,,,,
611,Stefan Bozhkov,MF,,,,,,,,,
612,Kees Rijvers,MF,,,,,,,,,
613,Roger Marche,DF,,,,,,,,,
614,Robert Jonquet,DF,,,,,,,,,
615,Vujadin Boskov,MF,,,,,,,,,
616,Bengt Gustavsson,DF,,,,,,,,,
617,Campanal II,DF,,,,,,,,,
618,Joseph Ujlaki,FW,,,,,,,,,
619,Svatopluk Pluskal,DF,,,,,,,,,
620,Thadee Cisowski,FW,,,,,,,,,
621,Ake Johansson,DF,,,,,,,,,
622,Karl Stotz,DF,,,,,,,,,
623,Orvar Bergmark,DF,,,,,,,,,
624,Igor Netto,MF,,,,,,,,,
625,Jimmy McIlroy,FW,,,,,,,,,
626,Joan Segarra,DF,,,,,,,,,
627,Tommy Taylor,FW,,,,,,,,,
628,Yuriy Voynov,MF,,,,,,,,,
629,Bobby Smith,FW,,,,,,,,,
630,Dezso Bundzsak,FW,,,,,,,,,
631,Dumitru Macri,DF,,,,,,,,,
632,Julio Botelho,FW,,,,,,,,,
633,Manfred Kaiser,MF,,,,,,,,,
634,Alberto Costa Pereira,GK,,,,,,,,,
635,Andre Lerond,DF,,,,,,,,,
636,Blagoje Vidinic,GK,,,,,,,,,
637,Borivoje Kostic,FW,,,,,,,,,
638,Germano de Figueiredo,DF,,,,,,,,,
639,Norbert Eschmann,MF,,,,,,,,,
640,Bretislav Dolejsi,GK,,,,,,,,,
641,Erich Hof,FW,,,,,,,,,
642,Pierre Bernard,GK,,,,,,,,,
643,Rudolf Kucera,FW,,,,,,,,,
644,Lucien Muller,MF,,,,,,,,,
645,Miguel Montuori,MF,,,,,,,,,
646,Pepillo II,FW,,,,,,,,,
647,Titus Bubernik,MF,,,,,,,,,
648,Coen Moulijn,FW,,,,,,,,,
649,Jozef Adamec,FW,,,,,,,,,
650,Metin Oktay,FW,,,,,,,,,
651,Mikheil Meskhi,MF,,,,,,,,,
652,Ole Madsen,FW,,,,,,,,,
653,Antonio Angelillo,FW,,,,,,,,,
654,Ezio Pascutti,FW,,,,,,,,,
655,Bruno Nicole,FW,,,,,,,,,
656,Harry Bild,FW,,,,,,,,,
657,Nikola Kotkov,FW,,,,,,,,,
658,Zygfryd Szołtysik,MF,,,,,,,,,
659,Gernot Fraydl,GK,,,,,,,,,
660,Johnny Giles,MF,,,,,,,,,
661,Ken Jones,GK,,,,,,,,,
662,Robert Herbin,DF,,,,,,,,,
663,Angelo Sormani,FW,,,,,,,,,
664,Giorgos Sideris,FW,,,,,,,,,
665,Jean Djorkaeff,DF,,,,,,,,,
666,Mirsad Fazlagic,DF,,,,,,,,,
667,Tony Dunne,DF,,,,,,,,,
668,Zvezdan Cebinac,MF,,,,,,,,,
669,Francis Lee,FW,,,,,,,,,
670,Giovanni Trapattoni,DF,,,,,,,,,
671,Ivica Osim,MF,,,,,,,,,
672,Jean Nicolay,GK,,,,,,,,,
673,Gert Dorfel,FW,,,,,,,,,
674,Gilbert Gress,MF,,,,,,,,,
675,Ivan Curkovic,GK,,,,,,,,,
676,Klaus Urbanczyk,DF,,,,,,,,,
677,Jakob Kuhn,MF,,,,,,,,,
678,John Greig,DF,,,,,,,,,
679,Philippe Gondet,FW,,,,,,,,,
680,Franz Hasil,MF,,,,,,,,,
681,Jorn Bjerregaard,FW,,,,,,,,,
682,Manuel Velazquez,MF,,,,,,,,,
683,Martin Chivers,FW,,,,,,,,,
684,Petar Zhekov,FW,,,,,,,,,
685,Rinus Israel,DF,,,,,,,,,
686,Willem van Hanegem,MF,,,,,,,,,
687,Gerrie Muhren,MF,,,,,,,,,
688,Emlyn Hughes,DF,,,,,,,,,
689,Giorgio Chinaglia,FW,,,,,,,,,
690,Pedro de Felipe,DF,,,,,,,,,
691,Carles Rexach,MF,,,,,,,,,
692,Jan Pivarnik,DF,,,,,,,,,
693,Jaroslav Pollak,MF,,,,,,,,,
694,Pierino Prati,FW,,,,,,,,,
695,Robert Gadocha,MF,,,,,,,,,
696,Vladimir Muntyan,MF,,,,,,,,,
697,Colin Todd,DF,,,,,,,,,
698,Cornel Dinu,DF,,,,,,,,,
699,Anders Linderoth,MF,,,,,,,,,
700,David Kipiani,MF,,,,,,,,,
701,Ray Kennedy,MF,,,,,,,,,
702,Benny Wendt,FW,,,,,,,,,
703,Costica Stefanescu,DF,,,,,,,,,
704,Don Givens,FW,,,,,,,,,
705,Terry McDermott,MF,,,,,,,,,
706,Anton Ondrus,DF,,,,,,,,,
707,Frans Thijssen,MF,,,,,,,,,
708,Kees Kist,FW,,,,,,,,,
709,Santillana,FW,,,,,,,,,
710,Steve Heighway,MF,,,,,,,,,
711,Antonio Oliveira,MF,,,,,,,,,
712,Francois Van Der Elst,MF,,,,,,,,,
713,Leonid Buryak,MF,,,,,,,,,
714,Rui Jordao,FW,,,,,,,,,
715,Vahid Halilhodzic,FW,,,,,,,,,
716,Ali Kemal Denizci,FW,,,,,,,,,
717,Felix Magath,MF,,,,,,,,,
718,Gaetano Scirea,DF,,,,,,,,,
719,Marcel Raducanu,MF,,,,,,,,,
720,Vasilis Hatzipanagis,MF,,,,,,,,,
721,Jesus Zamora,MF,,,,,,,,,
722,Tony Woodcock,FW,,,,,,,,,
723,Antonio Maceda,DF,,,,,,,,,
724,Frank Stapleton,FW,,,,,,,,,
725,Rodion Camataru,FW,,,,,,,,,
726,Frank Arnesen,MF,,,,,,,,,
727,Rafael Gordillo,DF,,,,,,,,,
728,Fernando Chalana,MF,,,,,,,,,
729,Georgi Dimitrov,DF,,,,,,,,,
730,Simon Tahamata,MF,,,,,,,,,
731,Stoicho Mladenov,FW,,,,,,,,,
732,Zlatko Vujovic,FW,,,,,,,,,
733,Fedor Cherenkov,MF,,,,,,,,,
734,Heinz Hermann,MF,,,,,,,,,
735,Helmuth Duckadam,GK,,,,,,,,,
736,Karl-Heinz Forster,DF,,,,,,,,,
737,Ally McCoist,FW,,,,,,,,,
738,Robby Langers,FW,,,,,,,,,
739,Stelios Manolas,DF,,,,,,,,,
740,Guy Hellers,MF,,,,,,,,,
741,John Sivebaek,DF,,,,,,,,,
742,Theo Snelders,GK,,,,,,,,,
743,Bruno Martini,GK,,,,,,,,,
744,Otto Konrad,GK,,,,,,,,,
745,Paul McStay,MF,,,,,,,,,
746,Sokol Kushta,FW,,,,,,,,,
747,Gary Stevens,DF,,,,,,,,,
748,Henrik Andersen,DF,,,,,,,,,
749,Miodrag Belodedici,DF,,,,,,,,,
750,Tanju Colak,FW,,,,,,,,,
751,Andreas Thom,FW,,,,,,,,,
752,Basile Boli,DF,,,,,,,,,
753,Franck Sauzee,MF,,,,,,,,,
754,Henrik Larsen,MF,,,,,,,,,
755,Ivan Zamorano,FW,,,,,,,,,
756,Jurgen Kohler,DF,,,,,,,,,
757,Olaf Thon,MF,,,,,,,,,
758,Rafael Martin Vazquez,MF,,,,,,,,,
759,Thomas Doll,MF,,,,,,,,,
760,Trifon Ivanov,DF,,,,,,,,,
761,Ciro Ferrara,DF,,,,,,,,,
762,Fernando Redondo,MF,,,,,,,,,
763,Angelo Peruzzi,GK,,,,,,,,,
764,Kubilay Turkyilmaz,FW,,,,,,,,,
765,Antonios Nikopolidis,GK,,,,,,,,,
766,Bent Skammelsrud,MF,,,,,,,,,
767,Mario Basler,MF,,,,,,,,,
768,Sergei Kiriakov,FW,,,,,,,,,
769,Ciriaco Sforza,MF,,,,,,,,,
770,Juan Esnaider,FW,,,,,,,,,
771,Michalis Kapsis,DF,,,,,,,,,
772,Nikos Machlas,FW,,,,,,,,,
773,Radek Bejbl,MF,,,,,,,,,
774,Rogerio Ceni,GK,,,,,,,,,
775,Sergi Barjuan,DF,,,,,,,,,
776,Patrick Berger,MF,,,,,,,,,
777,Johan Micoud,MF,,,,,,,,,
778,Ailton Goncalves,FW,,,,,,,,,
779,Damiano Tommasi,MF,,,,,,,,,
780,Samuel Kuffour,DF,,,,,,,,,
781,Traianos Dellas,DF,,,,,,,,,
782,Ivan Helguera,DF,,,,,,,,,
783,Mauro Camoranesi,MF,,,,,,,,,
784,Willy Sagnol,DF,,,,,,,,,
785,Cristian Chivu,DF,,,,,,,,,
786,Mista,FW,,,,,,,,,
787,Yildiray Basturk,MF,,,,,,,,,
788,Lucio,DF,,,,,,,,,
789,Marcos Senna,MF,,,,,,,,,
790,Nihat Kahveci,FW,,,,,,,,,
791,Giourkas Seitaridis,DF,,,,,,,,,
792,Younis Mahmoud,FW,,,,,,,,,
793,Lajos Szucs,DF,,,,,,,,,
794,Sergio Busquets,MF,,,,,,,,,
795,Hatem Trabelsi,DF,,,,,,,,,
796,Darko Kovacevic,FW,,,,,,,,,
797,Angelos Charisteas,FW,,,,,,,,,
798,Michel Salgado,DF,,,,,,,,,
799,Yuri Zhirkov,DF,,,,,,,,,
800,Peter Reid,MF,,,,,,,,,
801,David O'Leary,DF,,,,,,,,,
802,Vincent Candela,DF,,,,,,,,,
803,Dion Dublin,MF,,,,,,,,,
804,Ashley Young,DF,,,,,,,,,
805,Pepe Reina,GK,,,,,,,,,
806,Gylfi Sigurdsson,MF,,,,,,,,,
807,Kevin Nolan,MF,,,,,,,,,
808,Romelu Lukaku,FW,,,,,,,,,
809,Gary Speed,MF,,,,,,,,,
810,Alexandre Lacazette,FW,,,,,,,,,
811,David Unsworth,DF,,,,,,,,,
812,Stephane Ruffier,GK,,,,,,,,,
813,Joe Hart,GK,,,,,,,,,
814,Nicolas Anelka,FW,,,,,,,,,
815,David Silva,MF,,,,,,,,,
816,Nigel Martyn,GK,,,,,,,,,
817,Les Ferdinand,FW,,,,,,,,,
818,Robbie Fowler,FW,,,,,,,,,
819,Marco Reus,FW,,,,,,,,,
820,Leighton Baines,DF,,,,,,,,,
821,Olivier Giroud,FW,,,,,,,,,
822,Brad Friedel,GK,,,,,,,,,
823,David James,GK,,,,,,,,,
824,Gonzalo Castro,DF,,,,,,,,,
825,Nolberto Solano,MF,,,,,,,,,
826,Bafetimbi Gomis,FW,,,,,,,,,
827,Gus Poyet,MF,,,,,,,,,
828,Tim Howard,GK,,,,,,,,,
829,Dirk Kuyt,FW,,,,,,,,,
830,Bernd Leno,GK,,,,,,,,,
831,Mark Schwarzer,GK,,,,,,,,,
832,Danny Murphy,MF,,,,,,,,,
833,James Milner,MF,,,,,,,,,
834,Robbie Keane,FW,,,,,,,,,
835,Gary McAllister,MF,,,,,,,,,
836,Oliver Baumann,GK,,,,,,,,,
837,Edgar Davids,MF,,,,,,,,,
838,Dan Petrescu,DF,,,,,,,,,
839,Darren Bent,FW,,,,,,,,,
840,Anthony Lopes,GK,,,,,,,,,
841,Nicky Butt,DF,,,,,,,,,
842,Steed Malbranque,MF,,,,,,,,,
843,Yakubu Aiyegbeni,FW,,,,,,,,,
844,Ian Harte,DF,,,,,,,,,
845,Trevor Sinclair,MF,,,,,,,,,
846,Gareth Barry,MF,,,,,,,,,
847,Mario Gomez,FW,,,,,,,,,
848,Steve Mandanda,GK,,,,,,,,,
849,Lee Bowyer,MF,,,,,,,,,
850,Christian Gentner,MF,,,,,,,,,
851,Raheem Sterling,MF,,,,,,,,,
852,Salomon Kalou,FW,,,,,,,,,
853,Teddy Sheringham,FW,,,,,,,,,
854,Lars Stindl,MF,,,,,,,,,
855,Branislav Ivanovic,DF,,,,,,,,,
856,Daniel Caligiuri,MF,,,,,,,,,
857,Antonio Valencia,DF,,,,,,,,,
858,Thomas Sorensen,GK,,,,,,,,,
859,Son Heung-Min,FW,,,,,,,,,
860,Andre Ayew,MF,,,,,,,,,
861,Chris Sutton,MF,,,,,,,,,
862,Gary Cahill,DF,,,,,,,,,
863,Naldo (1982),DF,,,,,,,,,
864,Ole Gunnar Solskjaer,FW,,,,,,,,,
865,Sejad Salihovic,DF,,,,,,,,,
866,Mikel Arteta,MF,,,,,,,,,
867,Aaron Ramsey,MF,,,,,,,,,
868,Theodor Gebre Selassie,DF,,,,,,,,,
869,Cedric Carrasso,GK,,,,,,,,,
870,Nolan Roux,FW,,,,,,,,,
871,Mathieu Debuchy,DF,,,,,,,,,
872,Robbie Earle,MF,,,,,,,,,
873,Anthony Modeste,FW,,,,,,,,,
874,Mark Viduka,FW,,,,,,,,,
875,David Alaba,DF,,,,,,,,,
876,Loic Remy,FW,,,,,,,,,
877,Steve Watson,DF,,,,,,,,,
878,Charles N'Zogbia,DF,,,,,,,,,
879,Stefan Kiessling,FW,,,,,,,,,
880,Klaas-Jan Huntelaar,FW,,,,,,,,,
881,Emile Heskey,FW,,,,,,,,,
882,Kieran Richardson,DF,,,,,,,,,
883,Javier Hernandez,FW,,,,,,,,,
884,Tim Flowers,GK,,,,,,,,,
885,Jimmy Briand,FW,,,,,,,,,
886,Max Kruse,FW,,,,,,,,,
887,Shay Given,GK,,,,,,,,,
888,Leon Osman,MF,,,,,,,,,
889,Muzzy Izzet,MF,,,,,,,,,
890,Nils Petersen,FW,,,,,,,,,
891,Xherdan Shaqiri,MF,,,,,,,,,
892,Joel Matip,DF,,,,,,,,,
893,Kevin Trapp,GK,,,,,,,,,
894,Simon Mignolet,GK,,,,,,,,,
895,Paul Robinson (GK),GK,,,,,,,,,
896,Julien Feret,MF,,,,,,,,,
897,Danijel Subasic,GK,,,,,,,,,
898,Steve McManaman,MF,,,,,,,,,
899,Kevin Volland,FW,,,,,,,,,
900,Laurent Koscielny,DF,,,,,,,,,
901,Raffael,FW,,,,,,,,,
902,Matt Le Tissier,FW,,,,,,,,,
903,Claudio Pizarro,FW,,,,,,,,,
904,Peter Crouch,FW,,,,,,,,,
905,Jussi Jaaskelainen,GK,,,,,,,,,
906,Marouane Fellaini,MF,,,,,,,,,
907,Mevlut Erdinc,FW,,,,,,,,,
908,Geoffrey Jourdren,GK,,,,,,,,,
909,Ron-Robert Zieler,GK,,,,,,,,,
910,Patrik Berger,MF,,,,,,,,,
911,David Ospina,GK,,,,,,,,,
912,Remy Cabella,MF,,,,,,,,,
913,Kasper Schmeichel,GK,,,,,,,,,
914,Paul Ince,MF,,,,,,,,,
915,Gabby Agbonlahor,FW,,,,,,,,,
916,James Beattie,FW,,,,,,,,,
917,Jermaine Jenas,MF,,,,,,,,,
918,Cheick Diabate,FW,,,,,,,,,
919,Ugo Ehiogu,DF,,,,,,,,,
920,Mark Noble,MF,,,,,,,,,
921,Wahbi Khazri,FW,,,,,,,,,
922,Aleksandar Kolarov,DF,,,,,,,,,
923,Benoit Costil,GK,,,,,,,,,
924,Kevin Phillips,FW,,,,,,,,,
925,Yohan Cabaye,MF,,,,,,,,,
926,Denis Irwin,DF,,,,,,,,,
927,Ben Foster,GK,,,,,,,,,
928,Rildo,DF,,,,,,,,,
929,Tim Sherwood,MF,,,,,,,,,
930,Darren Anderton,MF,,,,,,,,,
931,Ryad Boudebouz,MF,,,,,,,,,
932,Clint Dempsey,FW,,,,,,,,,
933,Mark Bosnich,GK,,,,,,,,,
934,Andre Schurrle,FW,,,,,,,,,
935,Ilkay Gundogan,MF,,,,,,,,,
936,Lukasz Piszczek,DF,,,,,,,,,
937,Lukasz Fabianski,GK,,,,,,,,,
938,Ivan Perisic,MF,,,,,,,,,
939,Timo Werner,FW,,,,,,,,,
940,Ian Walker,GK,,,,,,,,,
941,Ralf Fahrmann,GK,,,,,,,,,
942,Daniel Sturridge,FW,,,,,,,,,
