ID,NAME,POS,DATEOFBIRTH,PLACEOFBIRTH,AGE,DATEOFDEATH,NATIONALITY,HEIGHT,WEIGHT,URL,STATUS,ID
34,Paolo Rossi,FW,"September 23, 1956",Prato ,69,"December 09, 2020",Italy,1m77,66,https://www.footballdatabase.eu/en/player/details/16417-paolo-rossi,SUCCESS,8724667e-e285-4758-8847-f3f4405e7780
35,Kaka,MF,"April 22, 1982",Brasília ,43,,Brazil,1m86,73,https://www.footballdatabase.eu/en/player/details/1638--kaka,SUCCESS,bd4601d3-b112-4e87-9a0d-d12021c09563
36,Luka Modric,MF,"September 09, 1985",Zadar ,40,,Croatia,1m74,65,https://www.footballdatabase.eu/en/player/details/14377-luka-modric,SUCCESS,7aa91bba-1ef9-406c-9ee0-3869be15b1a7
37,Alfredo Di Stefano,FW,"July 04, 1926",Buenos Aires ,99,"July 07, 2014",Spain,1m78,71,https://www.footballdatabase.eu/en/player/details/16429-alfredo-di_stefano,SUCCESS,0415f1e1-b018-44bf-b861-9c8bc274a189
38,Pavel Nedved,MF,"August 30, 1972",Cheb ,53,,Czech,1m77,70,https://www.footballdatabase.eu/en/player/details/1593-pavel-nedved,SUCCESS,c49e2bcd-5145-419a-985a-bbba65149342
39,Jean-Pierre Papin,FW,"November 05, 1963",Boulogne-sur-Mer ,62,,France,1m77,78,https://www.footballdatabase.eu/en/player/details/3847-jeanpierre-papin,SUCCESS,4a67fb4f-aeef-43e9-932e-b711ed4209b1
40,Oleg Blokhin,FW,"November 05, 1952",Kyiv ,73,,Ukraine,1m80,75,https://www.footballdatabase.eu/en/player/details/8092-oleh-blokhin,SUCCESS,6f9e41a1-2a49-4d0b-9ee5-7048e28bbcfd
41,Garrincha,FW,"October 28, 1933",Pau Grande ,92,"January 20, 1983",Brazil,1m69,72,https://www.footballdatabase.eu/en/player/details/36173--garrincha,SUCCESS,d3d4a6ec-234b-4cff-993e-b65b7957045b
42,Kevin Keegan,FW,"February 14, 1951",Armthorpe ,74,,England,1m70,67,https://www.footballdatabase.eu/en/player/details/2574-kevin-keegan,SUCCESS,55f065bb-089a-484e-a38a-0d828eeba198
43,George Best,MF,"May 22, 1946",Belfast ,79,"November 25, 2005",Northern,1m75,69,https://www.footballdatabase.eu/en/player/details/13301-george-best,SUCCESS,6ad6dbbd-d79e-429c-a468-4fde2ce54c0c
44,Allan Simonsen,FW,"December 15, 1952",Copenhagen ,73,,Denmark,1m65,58,https://www.footballdatabase.eu/en/player/details/3672-allan-simonsen,SUCCESS,6b3a74e9-42bc-41a0-a2ba-1be85fd644aa
45,Omar Sivori,FW,"October 02, 1935",Buenos Aires ,90,"February 17, 2005",Italy,1m71,70,https://www.footballdatabase.eu/en/player/details/16427-omar-sivori,SUCCESS,25ce81bf-04d4-4951-846c-9c7ee392938d
46,Josef Masopust,MF,"February 09, 1931",Strimice ,94,"June 29, 2015",Czech,1m74,66,https://www.footballdatabase.eu/en/player/details/16426-jozef-masopust,SUCCESS,fb7c6b9a-a0b8-498e-b936-b08bad61e54a
48,Fabio Cannavaro,DF,"September 13, 1973",Naples ,52,,Italy,1m75,72,https://www.footballdatabase.eu/en/player/details/1568-fabio-cannavaro,SUCCESS,cc1a794b-7288-4012-a518-0c03f26e0fec
49,Romario,FW,"January 29, 1966",Rio de Janeiro ,59,,Brazil,1m68,70,https://www.footballdatabase.eu/en/player/details/7205--romario,SUCCESS,617d7a9a-721a-473b-a1c4-efb827bea5d3
50,Mario Kempes,FW,"July 15, 1954",Bell Ville ,71,,Argentina,1m82,80,https://www.footballdatabase.eu/en/player/details/16437-mario-kempes,SUCCESS,00d9baa4-7bf1-4025-8f1f-2fca218d2a55
52,George Weah,FW,"October 01, 1966",Monrovia ,59,,Liberia,1m84,82,https://www.footballdatabase.eu/en/player/details/1289-george-weah,SUCCESS,76a3806b-9e5e-4ef1-9563-c8e51a0c5e4e
53,Stanley Matthews,FW,"February 01, 1915",Hanley ,110,"February 23, 2000",England,1m74,71,https://www.footballdatabase.eu/en/player/details/16431-stanley-matthews,SUCCESS,ffe1e5a4-a049-4abd-ac8e-04ba04eb4138
54,Igor Belanov,MF,"September 25, 1960",Odesa ,65,,Ukraine,1m74,68,https://www.footballdatabase.eu/en/player/details/16416-igor-belanov,SUCCESS,6a921ddb-e602-4ba3-a942-f5cc908bed23
